latitude,longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,source,operator,network_type,label_source,sample_weight,is_deadzone,signal_target,regression_weight,quality_score,cost231_predicted_rsrp,p1812_rsrp_dbm,p1812_distance_km,p1812_diffraction_loss_db
34.3411682651075,35.75225830078125,11972.0,1970.0,31.0,14.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-94.01785813860482,0.6,0.7452866760645396,,,,
34.32302363048831,35.73028564453125,16391.0,1649.0,31.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-92.30354518754946,0.6,0.7675966473964715,,,,
34.31394984163213,35.76873779296875,106055.0,29381.0,19.0,7.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-74.46489182681218,0.6,0.9837567851052823,,,,
34.37744575857741,35.77972412109375,8593.0,15180.0,23.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-96.09383099950333,0.6,0.7647474924249507,,,,
34.37744575857741,35.79071044921875,2941.0,1301.0,31.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-102.895850816786,0.6,0.6205783111005232,,,,
34.3729119307377,35.78521728515625,23840.0,2129.0,20.0,4.0,3.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.25925713869152,0.6,0.8102848419896792,,,,
34.3729119307377,35.79071044921875,6978.0,3917.0,23.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-97.59557248677538,0.6,0.7195106549614679,,,,
34.363843538830665,35.77972412109375,71983.0,13628.0,21.0,3.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-79.74271864881852,0.6,0.9395089530139558,,,,
34.3729119307377,35.79620361328125,83021.0,8984.0,20.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-77.6845178536993,0.6,0.9432763142943789,,,,
34.36837785748377,35.79620361328125,106967.0,11301.0,23.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-74.38695215423093,0.6,0.9616649141484535,,,,
34.35930897479357,35.77423095703125,15457.0,1994.0,32.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-92.62369700452267,0.6,0.7660889629637947,,,,
34.363843538830665,35.83465576171875,19774.0,4427.0,24.0,11.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-91.2796587002119,0.6,0.8076232888330832,,,,
34.37744575857741,35.84564208984375,53817.0,17052.0,21.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-83.93866123934187,0.6,0.9200852085923669,,,,
34.3729119307377,35.84564208984375,43331.0,13925.0,24.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-86.03264281569054,0.6,0.8962186416934018,,,,
34.36837785748377,35.84564208984375,2222.0,1540.0,23.0,3.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-104.4256161991173,0.6,0.6055401553071643,,,,
34.35930897479357,35.82366943359375,84454.0,27040.0,19.0,2.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-77.43762339788465,0.6,0.9680625474734607,,,,
34.35023911062778,35.83465576171875,21159.0,15222.0,20.0,2.0,2.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.91024863709393,0.6,0.8410968232349798,,,,
34.35930897479357,35.84014892578125,39931.0,11710.0,14.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-86.62209446382118,0.6,0.8917070497483408,,,,
34.33663247437728,35.78521728515625,14110.0,3048.0,13.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-93.12123673800313,0.6,0.7784008723557803,,,,
34.327560157052524,35.79071044921875,956.0,202.0,22.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,1,-110.3245873834067,0.6,0.4943463885097525,,,,
34.327560157052524,35.80718994140625,23315.0,14823.0,16.0,1.0,1.0,ookla,Unknown,Unknown,ookla,2.0,0,-90.38076830955822,0.6,0.8509065902704762,,,,
